created_at,text
Thu May 09 23:05:46 +0000 2019,RT @iamtexture: These side-project experiments are the real things happening https://t.co/nOkF2Hk7yj
Fri May 10 05:11:07 +0000 2019,"@JacobShiach You’ll be in the registry and get a single reward in either scenario. We’re working on that bug, thanks for flagging it!"
Fri May 10 05:16:23 +0000 2019,"@JacobShiach You’ll lose the proposal fee if one gets rejected (1 HUM). Not a big deal though, you’ll get 30K HUM for getting in."
Fri May 10 05:28:55 +0000 2019,@cleanunicorn @JacobShiach Yea the TwitterHumanityApplicant is very much a second layer contract on top of Humanity… https://t.co/mq5zrosCnX
Fri May 10 12:05:43 +0000 2019,@8bitbytebit @maxcwolff Agreed. You can use your base identity from the registry to set up delegate accounts (somet… https://t.co/JQK7iGg9Pa
Fri May 10 13:18:44 +0000 2019,@madcapslaugh @brendan_dharma Definitely not the goal. Ideally you'll be able to participate in Sybil-resistant pro… https://t.co/eIg2hStOoF
Fri May 10 13:21:30 +0000 2019,@madcapslaugh @brendan_dharma The DAO should try to demand the minimum information possible to assess whether an ap… https://t.co/qrYNx7Iqhv
Fri May 10 19:20:56 +0000 2019,"@th0jest @marbleprotocol @antiprosynth @HumanityDAO No, I think those projects are great though. @uport_me @3boxdb.… https://t.co/OuRQ4n2o0r"
Fri May 10 21:07:18 +0000 2019,@nanexcool @HumanityDAO Finally fixed. Thanks Mariano!
Fri May 10 22:12:43 +0000 2019,@nanexcool @HumanityDAO I hope so! Another use case for Dai! https://t.co/eSXYlfn390
Sat May 11 21:51:46 +0000 2019,@lrettig Check out @HumanityDAO. It's a DAO for all unique humans.
Sun May 12 00:20:08 +0000 2019,@lrettig @__padpad @HumanityDAO Hoping someone builds a simple 30-line usernames smart contract for registry member… https://t.co/qvcpdMvz3W
Sun May 12 01:54:46 +0000 2019,@nicksdjohnson @lrettig @__padpad @HumanityDAO What are your thoughts on sending some of the ENS $5 rent revenues t… https://t.co/WP8exyvCju
Sun May 12 01:57:32 +0000 2019,@nicksdjohnson @lrettig @__padpad @HumanityDAO As basic income essentially.
Sun May 12 05:43:40 +0000 2019,"@Dexter_Valkyrie @sassal0x @HumanityDAO @ensdomains We just launched this on Thursday :) Give us some time, we'll add ENS support soon!"
Sun May 12 14:04:34 +0000 2019,"@cicnos1 @mykelp We’ll see how people vote! If you don’t get in right away, we apologize and can help you apply aga… https://t.co/ljEkZI1MjG"
Sun May 12 16:10:32 +0000 2019,"@bmann @HumanityDAO @Trustwallet Good to hear! Definitely not optimized for mobile yet, bear with us applicants!"
Sun May 12 16:24:10 +0000 2019,@Sid_Coelho @HumanityDAO Agreed. Open to suggestions here!
Sun May 12 16:59:20 +0000 2019,@mr_ligi @HumanityDAO We did build a proof of concept at ETHSF that didn't get much attention: https://t.co/M5EHUwhzAW
Sun May 12 19:57:34 +0000 2019,@F76F761 @econoar @HumanityDAO Anyone can build another website to interact with the Humanity smart contracts. All… https://t.co/p7rd88hFRK
Sun May 12 20:10:05 +0000 2019,@F76F761 @econoar @HumanityDAO We launched this 3 days ago as a side project expecting to get like 10 applicants. T… https://t.co/LwIjYxUsjq
Sun May 12 21:10:27 +0000 2019,@r_ross_campbell Sorry
Sun May 12 23:17:29 +0000 2019,@_jdkanani @Sid_Coelho @HumanityDAO Yep
Mon May 13 11:39:15 +0000 2019,@PChonpimai @marbleprotocol Yea will fix in a few hours when we all wake up. Thank you!
Mon May 13 13:28:06 +0000 2019,@tenfinney @vor0220 @HumanityDAO 50K votes are from Marble people (like me). First humans will earn 30K today and b… https://t.co/4WOC5VIjZL
Mon May 13 13:28:52 +0000 2019,@tenfinney @vor0220 @HumanityDAO And make it possible to vote. We’ll try to improve the site over the next couple of days
Mon May 13 13:57:58 +0000 2019,@UBIpromoter @thegrifft @HumanityDAO @BrightIDProject Bright ID is one of the only other teams I saw working on the… https://t.co/7fYNQvcFJ0
Mon May 13 14:44:18 +0000 2019,@Iiterature @tenfinney @vor0220 @HumanityDAO Need a Tinder for unique humans only
Mon May 13 14:54:16 +0000 2019,@Iiterature @tenfinney @vor0220 @HumanityDAO Yea we’d love to see that and votes too from confirmed humans
Mon May 13 21:06:15 +0000 2019,"@cjremus @nicksdjohnson @HumanityDAO @ensdomains Definitely, we've seen this request multiple times already and I p… https://t.co/kGw1qKZPex"
Mon May 13 22:32:10 +0000 2019,"@jessewldn @HumanityDAO Sorry about that Jesse, I staked for you. Thanks for the bug report. You're #410. Good luck!"
Mon May 13 23:08:15 +0000 2019,@pfletcherhill @HumanityDAO Grab the $1 UBI!
Mon May 13 23:09:46 +0000 2019,@chdwlch @HumanityDAO Sorry about that! I'll re-stake for you. Iterated game.
Mon May 13 23:10:10 +0000 2019,@chdwlch @HumanityDAO The trust has to bubble out a bit first it seems
Mon May 13 23:21:07 +0000 2019,"@chdwlch @HumanityDAO #414, good luck! Voters, Chad seems like a good guy!"
Mon May 13 23:22:34 +0000 2019,@Iiterature @chdwlch @HumanityDAO Any suggestions for small social graph applicants? Photo with ETH address?
Mon May 13 23:53:25 +0000 2019,@levetrage @cyber_hokie @HumanityDAO Informal community standards. Seems like people are letting people with establ… https://t.co/FGgD19lbtK
Tue May 14 05:17:38 +0000 2019,@mohsen_ghajar @HumanityDAO First applicant to pass a Turing test from me. Check the Discord #general channel for t… https://t.co/ZZfKcrlsFg
Tue May 14 05:21:54 +0000 2019,"@jasonsomensatto @HumanityDAO There we go! Adding ENS support soon, thanks for adding it!"
Tue May 14 05:24:05 +0000 2019,@_jdkanani @JRossTreacher @mikedemarais @HumanityDAO Trying to solve unique identity right now. Could use help with privacy!
Tue May 14 15:45:37 +0000 2019,"If you are as amazed as I am that the @HumanityDAO site is actually holding up pretty well, please give a shoutout… https://t.co/o1pa6UhZMc"
Tue May 14 15:46:26 +0000 2019,"Also keep the feedback coming! Either here, DM or Discord. We're looking at everything and will pick off low-hangin… https://t.co/s18NJI79A5"
Tue May 14 16:56:57 +0000 2019,".@ETHNewYork hackers, start thinking about @HumanityDAO. Lots to build!"
Tue May 14 17:46:53 +0000 2019,RT @brendan_dharma: Would love to see: on-chain micro credit https://t.co/phctwZnUCL
Tue May 14 18:53:18 +0000 2019,@GalaxyNJDevils @HumanityDAO Can confirm Dan is a unique human and all around great guy!
Tue May 14 19:11:29 +0000 2019,"@travisformayor Yep, also kind of a hypocrite here. @trailofbits to the rescue hopefully. https://t.co/ToTIXSeUUU"
Wed May 15 01:00:10 +0000 2019,@jbrukh Happy to answer for @HumanityDAO!
Wed May 15 01:06:57 +0000 2019,@jbrukh @HumanityDAO You have to make it through a 4 day voting process to get accepted to the registry of unique h… https://t.co/SDWOEjVzpL
Wed May 15 01:07:32 +0000 2019,"@jbrukh @HumanityDAO It looks like you applied twice, which has happened to quite a few people. Sorry about that."
Wed May 15 04:27:34 +0000 2019,@insideNiMA @jbrukh @HumanityDAO Maybe in the future. Let's focus on Twitter for now.
Wed May 15 09:23:52 +0000 2019,@cypher_m00n @HumanityDAO Everything will be better if we can come together to fully solve this problem before onbo… https://t.co/0y08FeJo6s
Wed May 15 09:29:34 +0000 2019,@cypher_m00n @HumanityDAO It makes more sense to me to inspire builders with a shared goal than to distribute to a… https://t.co/wEHl9yuxlP
Wed May 15 09:30:43 +0000 2019,@cypher_m00n @HumanityDAO I’m sorry that you feel cheated but I hope that you will revisit the project when it impr… https://t.co/MUd0ZTiRqg
Wed May 15 09:32:01 +0000 2019,@cypher_m00n @HumanityDAO You can also feel free to fork Humanity to verify humans first. Maybe that is the more va… https://t.co/B7Ze99tBR3
