time,text
Mon May 20 23:57:34 +0000 2019,@PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth WHAT CAN GO WRONG IF YOU TRY???
Mon May 20 23:58:19 +0000 2019,@nanexcool @VladZamfir @VitalikButerin @scott_lew_is @HumanityDAO ALL SIGNALING. YOU GUYS READ AND ASSUME I'M MAD.… https://t.co/eh2wqj45dH
Tue May 21 00:00:00 +0000 2019,@PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth .@nicksdjohnson I know you're a smart guy and you're an earl… https://t.co/3bfB7hbrK1
Tue May 21 00:00:56 +0000 2019,@PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO If the list of humans look incorrect to you in… https://t.co/5mQgtrJHGj
Tue May 21 00:01:39 +0000 2019,@PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth IT HAS NETWORK EFFECTS I'M TRYING TO MAKE YOU MONEY POS BITC… https://t.co/yewwZM1dSF
Tue May 21 00:02:56 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO https://t.co/T682n3Fvsg. `remove`. Sorry man, i… https://t.co/lV5mz2Z15W"
Tue May 21 00:03:51 +0000 2019,@rabbyte @HumanityDAO WHAT IF I WAS WHAT IF I AM HONEST IN EVERYTHING I SAY WHAT IF THIS IS SIGNALING WHAT IF HUMAN… https://t.co/zxigAUagcL
Tue May 21 00:05:02 +0000 2019,@rabbyte @HumanityDAO A GAME THAT CAN BE SOLVED WITH BLOCKCHAIN IF EVERYONE DROPS THEIR EGO PLEASE! WE CAN SOLVE TR… https://t.co/jR6Qcudqx8
Tue May 21 00:05:19 +0000 2019,@rabbyte @HumanityDAO PROBABILITY WEIGHT THESE STATEMENTS PLEASE.
Tue May 21 00:06:19 +0000 2019,@rabbyte @HumanityDAO I'M NOT THE MEMBERS HAVE ACCEPTED THAT THIS IS A GAME AND I AM A PROPAGANDA MACHINE FOR THEM.… https://t.co/ffXoGVCTjt
Tue May 21 00:06:51 +0000 2019,@rabbyte @HumanityDAO PLEASE SYBIL!!!!! THAT IS SKIN IN THE GAME YOU'RE THE FIRST PERSON TO SUGGEST SOMETHING LOGICAL THANK GOD.
Tue May 21 00:07:28 +0000 2019,@rabbyte @HumanityDAO YOU BELIEVE SOMETHING AND ARE WILLING TO STAND UP FOR IT. GOOD FOR YOU PLEASE ATTACK WITH EVERYTHING YOU HAVE!
Tue May 21 00:07:55 +0000 2019,@rabbyte @HumanityDAO OTHERS HAVE EGO WHERE IS THE STAKE? THEY CALL ME CRAZY BECAUSE THEY HAVE NO SKIN IN THE GAME. THEY DON'T GET IT.
Tue May 21 00:08:27 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO SIGNALS. SOCIETY NEEDS STAKE.
Tue May 21 00:08:57 +0000 2019,"@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO ACADEMIA, PEER REVIEW ARE ALL SIGNALS. SHOUTING… https://t.co/F2Qfg5eGhK"
Tue May 21 00:09:42 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth LOOK AT THE DISCORD OF @HumanityDAO PEOPLE ARE… https://t.co/N9sTFrhiWk
Tue May 21 00:10:35 +0000 2019,@nicksdjohnson @PhABCD @soonaorlater @ljxie @_jillruth @HumanityDAO DO ANY OF YOU READ NASSIM TALEB? YOU ARE LIKING… https://t.co/0tus3NJ63n
Tue May 21 00:12:31 +0000 2019,@androolloyd @PhABCD @nicksdjohnson @soonaorlater @ljxie @_jillruth @HumanityDAO YES IT DOES IT'S FUNNY THIS IS A S… https://t.co/ulpS6qfC92
